from,to,walking,public_transport
1308621529,4551892507,395,395
1308621529,359238262,111,111
1308621529,5904861029,601,601
1308621529,2048616571,503,503
1308621529,98105901,1067,1067
1308621529,410455891,859,859
1308621529,561323738,904,904
1308621529,4063613611,916,916
1308621529,2137688161,817,817
1308621529,618284053,881,881
1308621529,1363354897,805,805
1308621529,2478696679,932,932
1308621529,895302724,895,895
1308621529,5664809637,933,933
1308621529,4192093000,1019,1019
1308621529,1454374331,728,728
1308621529,4852403788,660,660
1308621529,9995798817,721,721
1308621529,442585871,708,708
1308621529,244497161,685,685
1308621529,2579219364,545,545
1308621529,3380176573,614,614
1308621529,6778160929,540,540
1308621529,355686988,479,479
1308621529,311283313,558,558
1308621529,10238950146,366,366
1308621529,2457088247,1336,1336
1308621529,3563688393,1439,1439
1308621529,948326965,1323,1323
1308621529,8334692909,1261,1261
1308621529,2669480090,934,934
1308621529,12390124794,1509,1509
1308621529,12952062259,1623,1623
1308621529,2750669760,1381,1381
1308621529,2454512962,1207,1207
1308621529,12843952346,1378,1378
1308621529,5578380846,1678,1678
1308621529,10013110915,1555,1555
1308621529,4030881336,1369,1369
1308621529,1590153702,1153,1153
1308621529,136322935,2006,2006
1308621529,5981514091,1013,1013
1308621529,442551000,819,819
1308621529,12479126905,912,912
1308621529,133618467,1150,1150
1308621529,1488907662,1198,1232
1308621529,1991433140,945,945
1308621529,5582570021,762,762
1308621529,4239841589,1154,1154
1308621529,4019827636,1107,1107
1308621529,1167293625,881,881
1308621529,5881659505,796,796
1308621529,295413460,701,701
1308621529,1107533195,1200,1200
1308621529,138314025,1167,1167
1308621529,10583638334,1000,1000
1308621529,476441840,551,551
1308621529,1467334210,592,592
1308621529,30528334,735,735
1308621529,2247657921,763,763
1308621529,415627424,1231,1231
1308621529,2510053075,1129,1129
1308621529,2450295917,1167,1167
1308621529,12864827040,1393,1393
1308621529,9645157393,1089,1089
1308621529,354615386,1441,1441
1308621529,1363142268,1709,1709
1308621529,8209501770,1794,1794
4551892507,1308621529,762,762
4551892507,359238262,723,723
4551892507,5904861029,568,568
4551892507,2048616571,440,440
4551892507,98105901,1004,1004
4551892507,410455891,726,726
4551892507,561323738,909,909
4551892507,4063613611,948,828
4551892507,2137688161,842,842
4551892507,618284053,833,833
4551892507,1363354897,757,757
4551892507,2478696679,995,995
4551892507,895302724,957,957
4551892507,5664809637,996,996
4551892507,4192093000,1081,1081
4551892507,1454374331,728,728
4551892507,4852403788,722,557
4551892507,9995798817,800,800
4551892507,442585871,846,846
4551892507,244497161,896,896
4551892507,2579219364,1035,1035
4551892507,3380176573,895,895
4551892507,6778160929,753,753
4551892507,355686988,761,761
4551892507,311283313,1037,1037
4551892507,10238950146,838,838
4551892507,2457088247,1124,1124
4551892507,3563688393,1227,1227
4551892507,948326965,1057,1148
4551892507,8334692909,1198,1198
4551892507,2669480090,871,871
4551892507,12390124794,1446,1446
4551892507,12952062259,1560,1560
4551892507,2750669760,1318,1318
4551892507,2454512962,1181,1181
4551892507,12843952346,1440,1440
4551892507,5578380846,1771,1771
4551892507,10013110915,1617,1617
4551892507,4030881336,1524,1524
4551892507,1590153702,1308,1308
4551892507,136322935,1886,1886
4551892507,5981514091,1195,1195
4551892507,442551000,975,975
4551892507,12479126905,1068,1068
4551892507,133618467,1337,1337
4551892507,1488907662,1385,1385
4551892507,1991433140,1100,1100
4551892507,5582570021,1241,1241
4551892507,4239841589,1633,1633
4551892507,4019827636,1586,1586
4551892507,1167293625,1360,1360
4551892507,5881659505,1275,1275
4551892507,295413460,1180,1180
4551892507,1107533195,1501,1501
4551892507,138314025,1520,1520
4551892507,10583638334,1244,1244
4551892507,476441840,833,833
4551892507,1467334210,874,874
4551892507,30528334,1018,1018
4551892507,2247657921,1046,1046
4551892507,415627424,1514,1514
4551892507,2510053075,1412,1412
4551892507,2450295917,1104,1104
4551892507,12864827040,1289,1289
4551892507,9645157393,1026,1026
4551892507,354615386,1378,1378
4551892507,1363142268,1646,1646
4551892507,8209501770,1731,1731
359238262,1308621529,162,162
359238262,4551892507,284,284
359238262,5904861029,554,554
359238262,2048616571,397,397
359238262,98105901,961,961
359238262,410455891,753,753
359238262,561323738,798,798
359238262,4063613611,933,933
359238262,2137688161,782,782
359238262,618284053,846,846
359238262,1363354897,770,770
359238262,2478696679,934,934
359238262,895302724,896,896
359238262,5664809637,935,935
359238262,4192093000,1020,1020
359238262,1454374331,833,833
359238262,4852403788,662,662
359238262,9995798817,814,814
359238262,442585871,801,801
359238262,244497161,778,778
359238262,2579219364,638,638
359238262,3380176573,707,707
359238262,6778160929,633,633
359238262,355686988,550,550
359238262,311283313,651,651
359238262,10238950146,459,459
359238262,2457088247,1229,1229
359238262,3563688393,1332,1332
359238262,948326965,1162,1162
359238262,8334692909,1155,1155
359238262,2669480090,828,828
359238262,12390124794,1403,1403
359238262,12952062259,1517,1517
359238262,2750669760,1275,1275
359238262,2454512962,1213,1213
359238262,12843952346,1380,1380
359238262,5578380846,1803,1803
359238262,10013110915,1557,1557
359238262,4030881336,1462,1462
359238262,1590153702,1246,1246
